Date,Count,Hour,Temp,Hum,Wind,Visb,Dew,Solar,Rain,Snow,Season,Holiday,Fday,Year,Month,Day,DayOfWeek,WeekStatus,DayName,Season_encoded,Holiday_encoded,Fday_encoded,WeekStatus_encoded,time_idx,group
2017-12-01,254.0,0,-5.2,37.0,2.2,2000.0,-17.6,0.0,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,0,0
2017-12-01,204.0,1,-5.5,38.0,0.8,2000.0,-17.6,0.0,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,1,0
2017-12-01,173.0,2,-6.0,39.0,1.0,2000.0,-17.7,0.0,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,2,0
2017-12-01,107.0,3,-6.2,40.0,0.9,2000.0,-17.6,0.0,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,3,0
2017-12-01,78.0,4,-6.0,36.0,2.3,2000.0,-18.6,0.0,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,4,0
2017-12-01,100.0,5,-6.4,37.0,1.5,2000.0,-18.7,0.0,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,5,0
2017-12-01,181.0,6,-6.6,35.0,1.3,2000.0,-19.5,0.0,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,6,0
2017-12-01,460.0,7,-7.4,38.0,0.9,2000.0,-19.3,0.0,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,7,0
2017-12-01,930.0,8,-7.6,37.0,1.1,2000.0,-19.8,0.01,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,8,0
2017-12-01,490.0,9,-6.5,27.0,0.5,1928.0,-22.4,0.23,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,9,0
2017-12-01,339.0,10,-3.5,24.0,1.2,1996.0,-21.2,0.65,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,10,0
2017-12-01,360.0,11,-0.5,21.0,1.3,1936.0,-20.2,0.94,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,11,0
2017-12-01,449.0,12,1.7,23.0,1.4,2000.0,-17.2,1.11,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,12,0
2017-12-01,451.0,13,2.4,25.0,1.6,2000.0,-15.6,1.16,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,13,0
2017-12-01,447.0,14,3.0,26.0,2.0,2000.0,-14.6,1.01,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,14,0
2017-12-01,463.0,15,2.1,36.0,3.2,2000.0,-11.4,0.54,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,15,0
2017-12-01,484.0,16,1.2,54.0,4.2,793.0,-7.0,0.24,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,16,0
2017-12-01,555.0,17,0.8,58.0,1.6,2000.0,-6.5,0.08,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,17,0
2017-12-01,862.0,18,0.6,66.0,1.4,2000.0,-5.0,0.0,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,18,0
2017-12-01,600.0,19,0.0,77.0,1.7,2000.0,-3.5,0.0,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,19,0
2017-12-01,426.0,20,-0.3,79.0,1.5,1913.0,-3.5,0.0,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,20,0
2017-12-01,405.0,21,-0.8,81.0,0.8,1687.0,-3.6,0.0,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,21,0
2017-12-01,398.0,22,-0.9,83.0,1.5,1380.0,-3.4,0.0,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,22,0
2017-12-01,323.0,23,-1.3,84.0,1.0,1265.0,-3.6,0.0,0.0,0.0,Winter,Workday,Func,2017,12,1,4,Weekday,Friday,Winter,Workday,Func,Weekday,23,0
2017-12-02,328.0,0,-1.8,87.0,1.1,994.0,-3.6,0.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,24,0
2017-12-02,308.0,1,-2.2,86.0,0.6,990.0,-4.2,0.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,25,0
2017-12-02,262.0,2,-2.9,86.0,1.5,1256.0,-4.9,0.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,26,0
2017-12-02,167.0,3,-3.5,81.0,2.2,1221.0,-6.2,0.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,27,0
2017-12-02,89.0,4,-3.8,79.0,2.0,1167.0,-6.9,0.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,28,0
2017-12-02,79.0,5,-4.0,79.0,1.5,1202.0,-7.1,0.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,29,0
2017-12-02,70.0,6,-4.3,82.0,2.1,1178.0,-6.9,0.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,30,0
2017-12-02,146.0,7,-4.4,81.0,2.5,1276.0,-7.1,0.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,31,0
2017-12-02,219.0,8,-4.2,79.0,2.1,1436.0,-7.3,0.01,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,32,0
2017-12-02,328.0,9,-2.9,68.0,1.6,1487.0,-7.9,0.3,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,33,0
2017-12-02,334.0,10,-0.4,57.0,1.6,1309.0,-7.8,0.8,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,34,0
2017-12-02,388.0,11,1.9,49.0,1.8,1406.0,-7.7,1.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,35,0
2017-12-02,479.0,12,4.3,41.0,1.3,1666.0,-7.8,1.09,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,36,0
2017-12-02,606.0,13,6.0,36.0,1.8,1780.0,-7.9,1.12,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,37,0
2017-12-02,611.0,14,7.3,35.0,1.3,1955.0,-7.1,0.99,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,38,0
2017-12-02,589.0,15,7.6,41.0,2.3,1953.0,-4.8,0.74,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,39,0
2017-12-02,618.0,16,6.4,48.0,2.6,1945.0,-3.8,0.22,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,40,0
2017-12-02,572.0,17,6.0,51.0,2.5,1891.0,-3.3,0.06,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,41,0
2017-12-02,489.0,18,5.5,53.0,1.5,1697.0,-3.3,0.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,42,0
2017-12-02,385.0,19,5.0,52.0,2.3,1666.0,-4.0,0.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,43,0
2017-12-02,359.0,20,4.6,51.0,1.2,1585.0,-4.6,0.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,44,0
2017-12-02,377.0,21,4.1,55.0,1.2,1448.0,-4.1,0.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,45,0
2017-12-02,354.0,22,3.5,54.0,1.5,1446.0,-4.9,0.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,46,0
2017-12-02,366.0,23,4.0,56.0,1.0,1352.0,-4.0,0.0,0.0,0.0,Winter,Workday,Func,2017,12,2,5,Weekend,Saturday,Winter,Workday,Func,Weekend,47,0
2017-12-03,342.0,0,4.0,58.0,1.4,1296.0,-3.5,0.0,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,48,0
2017-12-03,227.0,1,3.9,69.0,1.7,485.0,-1.2,0.0,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,49,0
2017-12-03,228.0,2,3.3,79.0,1.4,830.0,0.0,0.0,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,50,0
2017-12-03,117.0,3,3.4,71.0,1.6,1011.0,-1.3,0.0,0.5,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,51,0
2017-12-03,76.0,4,3.5,73.0,1.0,1060.0,-0.8,0.0,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,52,0
2017-12-03,32.0,5,3.9,75.0,1.9,914.0,-0.1,0.0,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,53,0
2017-12-03,13.0,6,3.4,86.0,2.5,278.0,1.2,0.0,1.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,54,0
2017-12-03,22.0,7,3.1,91.0,1.2,129.0,1.7,0.0,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,55,0
2017-12-03,85.0,8,3.2,92.0,1.8,244.0,2.0,0.0,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,56,0
2017-12-03,152.0,9,3.5,91.0,1.8,231.0,2.1,0.02,2.5,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,57,0
2017-12-03,200.0,10,4.4,89.0,2.2,257.0,2.7,0.24,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,58,0
2017-12-03,273.0,11,5.1,87.0,1.4,321.0,3.1,0.25,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,59,0
2017-12-03,333.0,12,5.8,85.0,1.7,349.0,3.4,0.43,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,60,0
2017-12-03,495.0,13,6.8,81.0,1.9,390.0,3.7,0.6,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,61,0
2017-12-03,563.0,14,7.6,76.0,1.2,422.0,3.6,0.69,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,62,0
2017-12-03,621.0,15,8.0,73.0,1.6,433.0,3.4,0.53,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,63,0
2017-12-03,598.0,16,7.6,77.0,1.6,399.0,3.8,0.2,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,64,0
2017-12-03,545.0,17,6.7,82.0,1.5,358.0,3.8,0.05,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,65,0
2017-12-03,443.0,18,6.0,84.0,1.9,327.0,3.4,0.0,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,66,0
2017-12-03,422.0,19,5.7,85.0,1.7,309.0,3.3,0.0,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,67,0
2017-12-03,397.0,20,5.2,87.0,1.4,253.0,3.2,0.0,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,68,0
2017-12-03,385.0,21,4.7,87.0,1.2,247.0,2.7,0.0,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,69,0
2017-12-03,350.0,22,4.3,89.0,1.8,201.0,2.6,0.0,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,70,0
2017-12-03,303.0,23,3.9,90.0,1.3,194.0,2.4,0.0,0.0,0.0,Winter,Workday,Func,2017,12,3,6,Weekend,Sunday,Winter,Workday,Func,Weekend,71,0
2017-12-04,285.0,0,4.2,88.0,0.6,216.0,2.3,0.0,0.0,0.0,Winter,Workday,Func,2017,12,4,0,Weekday,Monday,Winter,Workday,Func,Weekday,72,0
2017-12-04,186.0,1,4.3,87.0,0.5,221.0,2.3,0.0,0.0,0.0,Winter,Workday,Func,2017,12,4,0,Weekday,Monday,Winter,Workday,Func,Weekday,73,0
2017-12-04,112.0,2,4.4,87.0,1.8,207.0,2.4,0.0,0.0,0.0,Winter,Workday,Func,2017,12,4,0,Weekday,Monday,Winter,Workday,Func,Weekday,74,0
2017-12-04,65.0,3,3.6,85.0,2.3,206.0,1.3,0.0,0.0,0.0,Winter,Workday,Func,2017,12,4,0,Weekday,Monday,Winter,Workday,Func,Weekday,75,0
2017-12-04,41.0,4,2.8,89.0,1.5,130.0,1.1,0.0,0.0,0.0,Winter,Workday,Func,2017,12,4,0,Weekday,Monday,Winter,Workday,Func,Weekday,76,0
2017-12-04,82.0,5,2.0,83.0,2.7,253.0,-0.5,0.0,0.0,0.0,Winter,Workday,Func,2017,12,4,0,Weekday,Monday,Winter,Workday,Func,Weekday,77,0
2017-12-04,200.0,6,1.2,76.0,3.7,371.0,-2.5,0.0,0.1,0.0,Winter,Workday,Func,2017,12,4,0,Weekday,Monday,Winter,Workday,Func,Weekday,78,0
2017-12-04,498.0,7,0.2,68.0,3.4,702.0,-5.0,0.0,0.0,0.0,Winter,Workday,Func,2017,12,4,0,Weekday,Monday,Winter,Workday,Func,Weekday,79,0
2017-12-04,937.0,8,-0.8,69.0,3.5,954.0,-5.7,0.01,0.0,0.0,Winter,Workday,Func,2017,12,4,0,Weekday,Monday,Winter,Workday,Func,Weekday,80,0
2017-12-04,509.0,9,-1.5,47.0,4.2,1888.0,-11.3,0.22,0.0,0.0,Winter,Workday,Func,2017,12,4,0,Weekday,Monday,Winter,Workday,Func,Weekday,81,0
